"TN_ugL_epi","TN_ugL_hypo","TP_ugL_epi","TP_ugL_hypo","Temp_C_epi","Temp_C_hypo","DO_mgL_epi","waterlevel","therm_depth","oxy_depth","SS","Green_ugL","Bluegreen_ugL","Brown_ugL","Mixed_ugL","Total_ugL","secchi","AirTemp","Shortwave","Longwave","RelHum","WindSpeed","Rain","DateTime"
175.5,128.25,6.63333333333333,5.35,13.7333333333333,9.11111111111111,11.8433333333333,11.63,3.38907490303738,7.60659626274998,16.7919104231036,1.5612,0.1452,1.1432,0.2376,3.0868,NA,20.117926535,192.375750545,374.4395853625,85.0446355341667,3.964177450875,0.0120832002083333,2019-04-08
298.5,132.75,4.55,4.3,15.2666666666667,9.35,10.855,11.75,5.57073003892885,7.4083381882731,24.1102960314719,1.56524526315789,0.144861052631579,0.834075087719298,0.23841298245614,2.78231964912281,NA,14.6870869949167,207.564250251667,343.2229181875,89.3645860733333,4.17321385570833,0,2019-04-29
652,180,16.9333333333333,1.2,21.7,10.3428571428571,10.372,11.57,5.24083037515498,7.51024402529062,69.1481096522223,1.56986842105263,0.144473684210526,0.480789473684211,0.239342105263158,2.43434210526316,4.35,24.4912582404167,307.731374265,384.950003308333,77.69871848125,4.597002258875,3.4e-05,2019-05-23
774,45,12,1.8,23.54,10.8142857142857,9.306,11.51,4.63200137272637,7.47051559127552,70.6919705642406,1.4230612244898,0.137142857142857,1.04510204081633,0.281428571428571,2.8869387755102,3.78333333333333,25.2791737870833,278.728295480833,402.492079429167,77.24430263875,2.77442873133333,0.00242840004166667,2019-06-06
492,126.75,20.3,1.5,21.7595018656716,11.0408860215054,7.72634402985075,11.6,4.19891480657834,6.14125542484431,63.7852163776262,1.11240740740741,0.123888888888889,0.622037037037037,0.264814814814815,2.12314814814815,3.5,17.7475067129167,286.880751129583,326.2662506125,73.4618475475,6.22546379170833,0.0001142,2019-06-13
928.5,141,28.6,5.5,23.2827517605634,10.9946085308057,8.37807570422535,11.51,5.01898714740208,6.6414236515471,86.0487908308274,1.54190476190476,0.16952380952381,0.592857142857143,0.125714285714286,2.43095238095238,4.6,26.2091728216667,318.337746784167,381.075832358333,71.097787275,1.6364196335,0,2019-06-27
1455,174.892857142857,38.35,4.13809523809524,25.3220028288543,11.3582097893432,6.90696732673267,11.51,4.54798186413123,5.69903758527397,108.910930212359,1.99803921568627,0.217941176470588,1.02754901960784,0.262745098039216,3.50598039215686,3.99642857142857,25.5975013741667,227.986584507083,412.190418241667,86.9066481395833,3.01079863354167,5.4e-05,2019-07-10
1495.5,177.5,39.1,4.03333333333333,21.7146850649351,9.34241925518409,6.22559103396603,11.51,6.51733758064598,5.66100514378826,109.366765888726,1.4772619047619,0.654305555555555,1.86529761904762,0.299087301587302,4.29559523809524,3.95,26.27125829125,262.8829588875,405.870416008333,81.0570365995833,3.152760831625,0.00143,2019-07-11
1020.75,299.25,15.425,2.95,27.60454375,13.9449693570451,8.78391319444444,11.42,2.33762253408172,3.10922690662153,106.599244737078,2.24083333333333,0.194166666666667,0.691666666666667,0.37,3.495,3.25,25.9795928941667,256.988668756667,401.440415704167,78.08011302625,3.58547472333333,0.0003076,2019-07-18
1166.58333333333,293.527777777778,18.9527777777778,5.5537037037037,26.5662177884615,13.018482543974,7.70387936490978,11.42,3.30131989268921,3.11136396005232,105.747551849277,2.24083333333333,0.194166666666667,0.691666666666667,0.37,3.495,3.08333333333333,21.8733421325,327.80200116,341.423756920833,71.3005093679167,2.40190589554167,0,2019-07-24
1677,273.5,31.3,14.6666666666667,22.9320769230769,9.77577869822485,3.92376096153846,11.45,6.6742606478154,3.11884364706007,102.766626741975,10.1686,1.8095,3.3588,8.0556,23.393,2.5,27.3066701258333,292.9275858135,394.115418745833,70.899383,2.67420114895833,0,2019-08-14
2165,263.666666666667,38.5,15.8,23.5221790990991,9.68880687203792,4.88985762439807,11.33,7.52468885104829,3.70494294921405,77.8699701122959,14.2352380952381,2.11380952380952,3.18369047619048,3.91297619047619,23.4459523809524,2.8,26.6520871491667,264.576999903542,378.450417829167,68.0245265316667,2.344114741625,0,2019-09-04
2096.5,254,33.4333333333333,16.2333333333333,24.6568863179074,13.8448023255814,4.85968893360161,10.9,4.48095006855718,2.17373770728997,63.2266113691315,3.69806463081426,1.97213974740708,7.37971891351433,0.397705690298507,13.4470217151219,2.1,20.96500295,212.061004004167,337.7987505625,64.2919037929167,4.11132925845833,0,2019-10-04
