"time","Q_m3pd"
2014-12-06,136052.922761224
2014-12-07,95237.0459328567
2014-12-08,84836.6753450087
2014-12-09,59385.6727415061
2014-12-10,41569.9709190543
2014-12-11,29098.979643338
2014-12-12,20369.2857503366
2014-12-13,14258.5000252356
2014-12-14,11085.7706876518
2014-12-15,12747.3674217388
2014-12-16,25818.2718098098
2014-12-17,18072.7902668669
2014-12-18,12650.9531868068
2014-12-19,8855.66723076478
2014-12-20,6198.96706153534
2014-12-21,4339.27694307474
2014-12-22,88703.1767795797
2014-12-23,238014.278983779
2014-12-24,340442.605754896
2014-12-25,238309.824028427
2014-12-26,166816.876819899
2014-12-27,122439.891628398
2014-12-28,137084.784891102
2014-12-29,198044.044609244
2014-12-30,145438.10722647
2014-12-31,101806.675058529
2015-01-01,71264.6725409705
2015-01-02,52670.1359383511
2015-01-03,114621.893706946
2015-01-04,102352.026394862
2015-01-05,71646.4184764036
2015-01-06,50152.4929334825
2015-01-07,35106.7450534378
2015-01-08,24574.7215374064
2015-01-09,17202.3050761845
2015-01-10,12041.6135533292
2015-01-11,22250.0547583344
2015-01-12,115714.943013944
2015-01-13,89867.5742357623
2015-01-14,67471.5809146227
2015-01-15,47230.1066402359
2015-01-16,33061.0746481651
2015-01-17,23142.7522537156
2015-01-18,18199.0478343768
2015-01-19,12739.3334840637
2015-01-20,12815.5827020006
2015-01-21,11076.5234444149
2015-01-22,9805.14175768727
2015-01-23,242356.510687641
2015-01-24,169768.868681349
2015-01-25,118838.208076944
2015-01-26,93068.654402418
2015-01-27,65148.0580816927
2015-01-28,45603.6406571848
2015-01-29,32996.060587743
2015-01-30,23097.2424114201
2015-01-31,16168.0696879941
2015-02-01,59791.0447303373
2015-02-02,58896.1649112361
2015-02-03,41227.3154378653
2015-02-04,28859.1208065057
2015-02-05,20201.384564554
2015-02-06,14140.9691951878
2015-02-07,9898.67843663145
2015-02-08,11587.2537263269
2015-02-09,40004.7237595153
2015-02-10,28003.3066316607
2015-02-11,19602.3146421625
2015-02-12,13721.6202495137
2015-02-13,9605.13417465962
2015-02-14,19042.9896850862
2015-02-15,13330.0927795604
2015-02-16,354594.83785124
2015-02-17,248216.386495868
2015-02-18,186940.220400638
2015-02-19,130858.154280447
2015-02-20,91600.7079963128
2015-02-21,449117.906591459
2015-02-22,315884.600311898
2015-02-23,221119.220218329
2015-02-24,155190.023464459
2015-02-25,179151.610810247
2015-02-26,138886.729945832
2015-02-27,97220.7109620825
2015-02-28,68054.4976734578
2015-03-01,47638.1483714204
2015-03-02,33346.7038599943
2015-03-03,28385.3809592322
2015-03-04,257782.976440694
2015-03-05,635370.248308486
2015-03-06,444759.17381594
2015-03-07,311331.421671158
2015-03-08,218240.999923284
2015-03-09,168808.629273644
2015-03-10,165936.134245024
2015-03-11,177207.982517756
2015-03-12,135137.635986271
2015-03-13,219464.583025611
2015-03-14,255569.146805839
2015-03-15,198088.676271966
2015-03-16,161310.082471105
2015-03-17,127588.779649331
2015-03-18,95993.8389970125
2015-03-19,314105.539135807
2015-03-20,247445.698414157
2015-03-21,189562.926914387
2015-03-22,155802.796605379
2015-03-23,122120.030870315
2015-03-24,99481.4811941345
2015-03-25,93440.5354814128
2015-03-26,535542.763772806
2015-03-27,450348.436856268
2015-03-28,315243.905799387
2015-03-29,222926.121291853
2015-03-30,156048.284904297
2015-03-31,121071.940988349
2015-04-01,97784.6768214368
2015-04-02,86943.5449141755
2015-04-03,156090.622238498
2015-04-04,119181.458586746
2015-04-05,97165.2309317535
2015-04-06,104954.560947325
2015-04-07,290794.275262402
2015-04-08,585782.217958374
2015-04-09,468471.107291461
2015-04-10,423100.495133066
2015-04-11,326594.483106118
2015-04-12,259887.302359228
2015-04-13,246688.39865979
2015-04-14,583164.086855285
2015-04-15,451359.909464012
2015-04-16,462733.27303896
2015-04-17,368035.432698953
2015-04-18,314817.371180061
2015-04-19,1078975.29052446
2015-04-20,893765.415367122
2015-04-21,625635.790756985
2015-04-22,437945.05352989
2015-04-23,306561.537470923
2015-04-24,214593.076229646
2015-04-25,350016.30844312
2015-04-26,250064.980710184
2015-04-27,175045.486497129
2015-04-28,122531.84054799
2015-04-29,85772.288383593
2015-04-30,257076.349014334
2015-05-01,259267.607510033
2015-05-02,181487.325257023
2015-05-03,127041.127679916
2015-05-04,88928.7893759415
2015-05-05,62250.152563159
2015-05-06,215174.670499196
2015-05-07,150622.269349437
2015-05-08,105435.588544606
2015-05-09,73804.9119812243
2015-05-10,52850.0698952253
2015-05-11,63044.2505841808
2015-05-12,44130.9754089265
2015-05-13,30891.6827862486
2015-05-14,21624.177950374
2015-05-15,26957.7819085718
2015-05-16,24583.7649360003
2015-05-17,101932.1178552
2015-05-18,166743.14889864
2015-05-19,116720.204229048
2015-05-20,81704.1429603337
2015-05-21,147584.151212327
2015-05-22,103308.905848629
2015-05-23,72316.2340940402
2015-05-24,50621.3638658281
2015-05-25,35434.9547060797
2015-05-26,37476.5456839179
2015-05-27,26233.5819787426
2015-05-28,29039.961172724
2015-05-29,31028.9344209068
2015-05-30,21720.2540946348
2015-05-31,152354.832683218
2015-06-01,440245.766878252
2015-06-02,1105645.37361478
2015-06-03,877446.872730344
2015-06-04,627292.641711241
2015-06-05,466100.779478869
2015-06-06,326270.545635208
2015-06-07,228389.381944646
2015-06-08,403882.317365353
2015-06-09,282717.622155747
2015-06-10,197902.335509023
2015-06-11,148279.307515837
2015-06-12,120137.880861086
2015-06-13,100182.82620276
2015-06-14,130581.710341932
2015-06-15,91407.1972393526
2015-06-16,79701.9191392486
2015-06-17,401672.877797474
2015-06-18,417776.345658232
2015-06-19,293855.563560762
2015-06-20,230979.248892534
2015-06-21,196864.844624774
2015-06-22,137805.391237341
2015-06-23,96463.773866139
2015-06-24,67524.6417062973
2015-06-25,47267.2491944081
2015-06-26,434269.070384103
2015-06-27,361506.154068872
2015-06-28,253054.30784821
2015-06-29,181165.824259734
2015-06-30,193482.424515431
2015-07-01,135437.697160802
2015-07-02,100505.370617468
2015-07-03,201303.521832228
2015-07-04,179060.995682559
2015-07-05,253175.113777792
2015-07-06,619861.138844454
2015-07-07,433902.797191118
2015-07-08,314689.258733567
2015-07-09,220282.481113497
2015-07-10,223106.15813212
2015-07-11,156174.310692484
2015-07-12,636378.237169584
2015-07-13,725497.958818709
2015-07-14,539148.965573096
2015-07-15,377404.275901167
2015-07-16,264182.993130817
2015-07-17,184928.095191572
2015-07-18,129449.6666341
2015-07-19,90614.7666438703
2015-07-20,63430.3366507092
2015-07-21,44401.2356554964
2015-07-22,31080.8649588475
2015-07-23,21756.6054711933
2015-07-24,15229.6238298353
2015-07-25,34177.0841403278
2015-07-26,23923.9588982295
2015-07-27,21035.6689693909
2015-07-28,47465.8138785736
2015-07-29,41457.9977150015
2015-07-30,38183.5896005011
2015-07-31,26728.5127203508
2015-08-01,18709.9589042455
2015-08-02,13096.9712329719
2015-08-03,9167.87986308031
2015-08-04,6417.51590415622
2015-08-05,11821.9766718351
2015-08-06,95313.1167518919
2015-08-07,66761.1313263244
2015-08-08,57502.943128427
2015-08-09,40252.0601898989
2015-08-10,633718.784756631
2015-08-11,494887.897329641
2015-08-12,346421.528130749
2015-08-13,242495.069691524
2015-08-14,169746.548784067
2015-08-15,129499.500285414
2015-08-16,190182.43099979
2015-08-17,139750.835299853
2015-08-18,143360.513509897
2015-08-19,302627.882656928
2015-08-20,217918.94105985
2015-08-21,152543.258741895
2015-08-22,106780.281119326
2015-08-23,84899.1303858725
2015-08-24,59429.3912701107
2015-08-25,41600.5738890775
2015-08-26,29120.4017223543
2015-08-27,20384.281205648
2015-08-28,14268.9968439536
2015-08-29,9988.29779076751
2015-08-30,6991.80845353726
2015-08-31,4894.26591747608
2015-09-01,3425.98614223326
2015-09-02,2398.19029956328
2015-09-03,8866.01411960391
2015-09-04,304556.069800578
2015-09-05,213189.248860405
2015-09-06,149232.474202283
2015-09-07,104462.731941598
2015-09-08,73123.9123591188
2015-09-09,145935.42482714
2015-09-10,119688.640578998
2015-09-11,83782.0484052984
2015-09-12,76919.5268342567
2015-09-13,53843.6687839797
2015-09-14,37690.5681487858
2015-09-15,26383.3977041501
2015-09-16,18468.378392905
2015-09-17,12927.8648750335
2015-09-18,9049.50541252347
2015-09-19,6334.65378876643
2015-09-20,74182.8500295632
2015-09-21,606490.266220694
2015-09-22,425092.344754486
2015-09-23,297564.64132814
2015-09-24,208295.248929698
2015-09-25,426282.294697899
2015-09-26,850708.76388853
2015-09-27,1447708.25152197
2015-09-28,1176632.02086538
2015-09-29,1881381.96580577
2015-09-30,1316967.37606404
2015-10-01,934439.364417198
2015-10-02,1149238.95629204
2015-10-03,1307746.97180443
2015-10-04,975262.077863099
2015-10-05,682683.454504169
2015-10-06,477878.418152919
2015-10-07,334514.892707043
2015-10-08,234160.42489493
2015-10-09,317120.06275733
2015-10-10,291470.559930131
2015-10-11,204029.391951092
2015-10-12,147632.030422935
2015-10-13,103342.421296054
2015-10-14,72339.6949072381
2015-10-15,50637.7864350667
2015-10-16,35446.4505045467
2015-10-17,24812.5153531827
2015-10-18,17368.7607472279
2015-10-19,12158.1325230595
